date,value
2009-07-01,14.249
2009-08-01,12.619000000000002
2009-09-01,8.982000000000003
2009-10-01,0.18299999999999986
2009-11-01,-4.671
2009-12-01,-13.748
2010-01-01,-9.347999999999999
2010-02-01,-5.247999999999998
2010-03-01,-1.3849999999999998
2010-04-01,2.213
2010-05-01,6.283
2010-06-01,10.224
2010-07-01,13.095999999999998
2010-08-01,12.233
2010-09-01,7.0539999999999985
2010-10-01,2.964
2010-11-01,-6.234
2010-12-01,-11.689
2011-01-01,-10.962
2011-02-01,-10.711
2011-03-01,-6.169
2011-04-01,-0.1279999999999999
2011-05-01,6.517
2011-06-01,10.136000000000001
2011-07-01,11.586
2011-08-01,11.374
2011-09-01,8.73
2011-10-01,1.881
2011-11-01,-7.2730000000000015
2011-12-01,-7.085
2012-01-01,-10.895999999999999
2012-02-01,-6.41
2012-03-01,-4.529999999999999
2012-04-01,1.721
2012-05-01,5.939
2012-06-01,9.579
2012-07-01,13.667000000000002
2012-08-01,12.909
2012-09-01,9.058
2012-10-01,-0.42100000000000004
2012-11-01,-7.142
2012-12-01,-12.404000000000002
2013-01-01,-9.991
2013-02-01,-5.2139999999999995
2013-03-01,-5.099
2013-04-01,-0.2779999999999999
2013-05-01,7.8
2013-06-01,11.556
2013-07-01,13.366
2013-08-01,13.495
2013-09-01,10.332
