year,animal_id,longitude,latitude
1991,HR_151.519,-121.86347114114884,54.432981747020314
1991,HR_151.535,-121.5625180423526,53.83300422075967
1991,HR_151.540,-121.19817012832942,54.29869750013686
1991,HR_151.550,-121.38149027394462,53.4740281909326
1991,HR_151.559,-121.09907494041275,53.34206727381812
1991,HR_151.570,-121.28165772822588,53.51454257001988
1991,HR_151.589,-121.27010938198585,54.12518739380512
1991,HR_151.600,-121.00810272232862,53.10754542963089
1991,HR_151.609,-121.2263158578831,53.64140448668607
1991,HR_151.635,-121.51724501810799,54.00683724883825
1991,HR_151.641,-121.28892582678338,53.55732381839976
1991,HR_151.649,-121.29377433013346,53.60650258607937
1991,HR_151.660,-121.56273666479225,53.957405681092
1991,HR_151.670,-121.590920565567,54.413697057024166
1991,HR_151.680,-121.81666519055118,53.5601706793071
1991,HR_151.690,-121.2213562058798,53.5392284964166
1991,HR_151.700,-122.3082577875742,53.55072501856249
1991,HR_151.720,-121.85019761777784,54.421497581695355
1991,HR_151.730,-121.59332515961235,53.79784928904423
