,dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
63485,1845-10-01,-1.0830000000000002,2.491,British Columbia,Canada
63486,1845-11-01,-7.6389999999999985,2.573,British Columbia,Canada
63487,1845-12-01,-10.843,4.458,British Columbia,Canada
63496,1846-09-01,6.303,3.4,British Columbia,Canada
63497,1846-10-01,-0.2180000000000002,3.36,British Columbia,Canada
63498,1846-11-01,-6.053,3.429,British Columbia,Canada
63499,1846-12-01,-10.95,3.323,British Columbia,Canada
63504,1847-05-01,5.001,2.3369999999999997,British Columbia,Canada
63505,1847-06-01,9.416,2.571,British Columbia,Canada
63506,1847-07-01,11.668,2.6310000000000002,British Columbia,Canada
63507,1847-08-01,10.973,2.502,British Columbia,Canada
63508,1847-09-01,5.852,2.563,British Columbia,Canada
63509,1847-10-01,-0.16199999999999992,2.424,British Columbia,Canada
63510,1847-11-01,-6.933,2.648,British Columbia,Canada
63511,1847-12-01,-12.089,3.088,British Columbia,Canada
63512,1848-01-01,-15.36,2.685,British Columbia,Canada
63513,1848-02-01,-10.489,3.8310000000000004,British Columbia,Canada
63514,1848-03-01,-6.64,2.414,British Columbia,Canada
63515,1848-04-01,-0.235,2.805,British Columbia,Canada
63516,1848-05-01,4.816,2.301,British Columbia,Canada
63517,1848-06-01,9.392000000000001,2.319,British Columbia,Canada
63518,1848-07-01,12.537,2.862,British Columbia,Canada
63519,1848-08-01,9.836,2.31,British Columbia,Canada
63520,1848-09-01,5.734999999999999,2.315,British Columbia,Canada
63521,1848-10-01,-0.1030000000000002,2.259,British Columbia,Canada
63522,1848-11-01,-5.926,2.64,British Columbia,Canada
63523,1848-12-01,-13.557,2.444,British Columbia,Canada
63524,1849-01-01,-14.575,3.7889999999999997,British Columbia,Canada
63525,1849-02-01,-12.972999999999999,4.042,British Columbia,Canada
63526,1849-03-01,-7.084,4.238,British Columbia,Canada
63527,1849-04-01,-1.5849999999999995,3.477,British Columbia,Canada
63528,1849-05-01,4.551,3.306,British Columbia,Canada
63529,1849-06-01,9.035,2.064,British Columbia,Canada
63530,1849-07-01,12.212000000000002,2.116,British Columbia,Canada
63531,1849-08-01,10.538,2.04,British Columbia,Canada
63532,1849-09-01,5.9350000000000005,1.89,British Columbia,Canada
63533,1849-10-01,0.7290000000000001,2.153,British Columbia,Canada
63534,1849-11-01,-5.143000000000002,2.122,British Columbia,Canada
63535,1849-12-01,-13.534,1.626,British Columbia,Canada
63536,1850-01-01,-15.655999999999999,3.07,British Columbia,Canada
63537,1850-02-01,-9.184,1.673,British Columbia,Canada
63538,1850-03-01,-7.882999999999999,4.828,British Columbia,Canada
63539,1850-04-01,0.04500000000000004,2.489,British Columbia,Canada
63540,1850-05-01,5.34,2.248,British Columbia,Canada
63541,1850-06-01,9.139,2.234,British Columbia,Canada
63542,1850-07-01,12.249,1.669,British Columbia,Canada
63543,1850-08-01,11.022,2.07,British Columbia,Canada
63544,1850-09-01,6.075,2.073,British Columbia,Canada
63545,1850-10-01,0.1629999999999998,1.565,British Columbia,Canada
63546,1850-11-01,-5.9540000000000015,2.1790000000000003,British Columbia,Canada
63547,1850-12-01,-11.781,2.2030000000000003,British Columbia,Canada
63548,1851-01-01,-12.811,1.456,British Columbia,Canada
63549,1851-02-01,-9.8,2.4130000000000003,British Columbia,Canada
63550,1851-03-01,-4.888999999999999,2.01,British Columbia,Canada
63551,1851-04-01,1.135,2.251,British Columbia,Canada
63552,1851-05-01,6.164,1.849,British Columbia,Canada
63553,1851-06-01,10.04,1.473,British Columbia,Canada
63554,1851-07-01,12.578,2.32,British Columbia,Canada
63555,1851-08-01,11.82,2.6260000000000003,British Columbia,Canada
63556,1851-09-01,7.029,1.725,British Columbia,Canada
63557,1851-10-01,1.775,3.0239999999999996,British Columbia,Canada
63558,1851-11-01,-5.009,2.969,British Columbia,Canada
63559,1851-12-01,-12.861,4.056,British Columbia,Canada
63560,1852-01-01,-9.93,4.994,British Columbia,Canada
63561,1852-02-01,-9.584,1.8840000000000001,British Columbia,Canada
63562,1852-03-01,-7.752000000000002,1.925,British Columbia,Canada
63563,1852-04-01,0.5900000000000001,1.7919999999999998,British Columbia,Canada
63564,1852-05-01,6.447,1.817,British Columbia,Canada
63565,1852-06-01,10.633,1.919,British Columbia,Canada
63566,1852-07-01,12.54,1.9609999999999999,British Columbia,Canada
63567,1852-08-01,11.151,2.2119999999999997,British Columbia,Canada
63568,1852-09-01,5.938,2.206,British Columbia,Canada
63569,1852-10-01,0.8919999999999999,2.5810000000000004,British Columbia,Canada
63570,1852-11-01,-6.924,2.233,British Columbia,Canada
63571,1852-12-01,-15.036,5.596,British Columbia,Canada
63572,1853-01-01,-13.103,2.26,British Columbia,Canada
63573,1853-02-01,-9.915,3.397,British Columbia,Canada
63574,1853-03-01,-5.294,2.1590000000000003,British Columbia,Canada
63575,1853-04-01,0.879,2.301,British Columbia,Canada
63576,1853-05-01,6.6629999999999985,2.056,British Columbia,Canada
63577,1853-06-01,9.364,2.53,British Columbia,Canada
63578,1853-07-01,12.297,1.8159999999999998,British Columbia,Canada
63579,1853-08-01,10.021,2.342,British Columbia,Canada
63580,1853-09-01,6.172999999999999,2.408,British Columbia,Canada
63581,1853-10-01,-0.17400000000000015,1.959,British Columbia,Canada
63582,1853-11-01,-6.712999999999999,3.2680000000000002,British Columbia,Canada
63583,1853-12-01,-10.883,2.324,British Columbia,Canada
63584,1854-01-01,-14.957999999999998,2.296,British Columbia,Canada
63585,1854-02-01,-11.436,2.028,British Columbia,Canada
63586,1854-03-01,-6.164,2.05,British Columbia,Canada
63587,1854-04-01,0.799,1.9140000000000001,British Columbia,Canada
63588,1854-05-01,5.14,2.011,British Columbia,Canada
63589,1854-06-01,8.517999999999999,2.55,British Columbia,Canada
63590,1854-07-01,12.086,2.133,British Columbia,Canada
63591,1854-08-01,10.82,2.4530000000000003,British Columbia,Canada
63592,1854-09-01,6.176,1.865,British Columbia,Canada
63593,1854-10-01,-0.23199999999999998,2.485,British Columbia,Canada
63594,1854-11-01,-3.4750000000000005,4.727,British Columbia,Canada
63595,1854-12-01,-11.777,3.0610000000000004,British Columbia,Canada
63596,1855-01-01,-11.911,3.758,British Columbia,Canada
63597,1855-02-01,-9.737,3.0580000000000003,British Columbia,Canada
63598,1855-03-01,-4.478,3.1689999999999996,British Columbia,Canada
63599,1855-04-01,0.787,3.069,British Columbia,Canada
63600,1855-05-01,6.006,3.103,British Columbia,Canada
63601,1855-06-01,10.056000000000001,1.885,British Columbia,Canada
63602,1855-07-01,11.837000000000002,2.211,British Columbia,Canada
63603,1855-08-01,10.979000000000001,2.93,British Columbia,Canada
63604,1855-09-01,6.276,2.9019999999999997,British Columbia,Canada
63605,1855-10-01,0.26,2.7260000000000004,British Columbia,Canada
63606,1855-11-01,-7.439,2.5669999999999997,British Columbia,Canada
63607,1855-12-01,-16.000999999999998,5.1560000000000015,British Columbia,Canada
63608,1856-01-01,-11.064,2.063,British Columbia,Canada
63609,1856-02-01,-8.145,4.064,British Columbia,Canada
63610,1856-03-01,-3.429,3.86,British Columbia,Canada
63611,1856-04-01,0.04200000000000004,1.341,British Columbia,Canada
